section,vlsi_attack_vector_A,mechanism_M,stage_S,outcome_O,exact_paper_wording,notes
2.2,HLS-induced information leakage,security_asset_leakage_to_observable_points,high_level_synthesis,confidentiality,Information Leakage,Threat-model category; leakage of security-critical information to untrusted/observable points.
2.2,HLS-induced control flow violation,break_intended_execution_flow,high_level_synthesis,integrity,Control Flow Violation,Threat-model category; attacker can break intended design execution flow.
2.2,HLS-induced fault injection susceptibility,fault_or_glitch_attack_enablement,high_level_synthesis,integrity;availability,Fault Injection,Threat-model category; generated RTL may become more susceptible to fault/glitch attacks.
2.2,HLS-induced side-channel leakage,power_or_time_side_channel_exposure,high_level_synthesis,confidentiality,Side-channel Leakage,Threat-model category; leakage through power or time side-channel information.
3.2.1,Function-flattening vulnerability,critical_function_inlining_expands_sensitive_registers,high_level_synthesis,confidentiality,Flattening of Functions,Designer/tool configuration issue; function flattening increases security-critical registers and verification burden.
3.2.1,No-reset register vulnerability,sensitive_register_retention_after_reset,high_level_synthesis,confidentiality,registers with no reset,Registers may retain keys/passwords or other sensitive values.
3.2.1,No-preset register vulnerability,insecure_unknown_state_after_reset,high_level_synthesis,integrity;availability,registers with no preset,Registers may enter insecure state shortly after reset.
3.2.1,Passthrough output vulnerability,intermediate_values_reflected_at_primary_output,high_level_synthesis,confidentiality,Passthrough Primary Outputs,Intermediate computation may appear at output ports before final valid result.
3.2.1,Lack of top-level control signals,data_latching_without_secure_start_control,high_level_synthesis,confidentiality;integrity,Lack of Top-level Control Signals,Absence or modification of block-level control signals can create security-critical behavior.
3.2.1,Insecure call-method vulnerability,pass_by_value_fault_or_pass_by_reference_external_tamper,high_level_synthesis,integrity;confidentiality,Insecure Call Methods,Pass-by-value or pass-by-reference can become vulnerable depending on threat model.
3.2.2,Non-secure scheduling,sensitive_operation_scheduled_before_security_condition,high_level_synthesis,confidentiality;integrity,Non-secure Scheduling,HLS may schedule operations early without considering security ordering.
3.2.2,Non-secure resource sharing,secure_and_nonsecure_operations_share_hardware_resources,high_level_synthesis,confidentiality;integrity;availability,Non-secure Resource Sharing,Shared resources between secure and non-secure operations may leak or corrupt security-critical data.
3.2.2,Unbalanced pipeline vulnerability,secure_and_nonsecure_assets_reach_outputs_at_different_depths,high_level_synthesis,confidentiality,Unbalanced Pipelines,HLS inserts pipelines without synchronizing secure and non-secure asset paths.
3.2.2,Insecure control logic extraction,fault_vulnerable_hls_generated_fsm,high_level_synthesis,integrity;availability,Control Logic Extraction,Generated FSMs may be vulnerable to single-event upsets and fault injection.
3.2.2,Power side-channel vulnerability,security_unaware_power_optimization,high_level_synthesis,confidentiality,Side-channel Leakage,HLS power optimization does not consider power side-channel leakage.
section,vlsi_attack_vector_A,mechanism_M,stage_S,outcome_O,exact_paper_wording,notes
4.1,Unbalanced pipeline vulnerability,reset_and_flush_key_leakage,high_level_synthesis,confidentiality,reset and flush attack,Experimental AES case; round key leaks through ciphertext/plaintext output ports.
4.1,HLS-induced information leakage,round_key_reaches_output_before_state,high_level_synthesis,confidentiality,round keys reach the ciphertext output before the intermediate round states can catch up,Concrete leakage mechanism from unbalanced pipeline depths.
4.2,Combinational-output leakage,conditional_statement_translated_to_combinational_circuit,high_level_synthesis,confidentiality,conditional statements into combinational circuits,HLS optimization exposes computed values before valid output confirmation.
4.2,Passthrough output vulnerability,computed_value_reflected_before_valid_signal,high_level_synthesis,confidentiality,computed values are reflected on the primary output even before the valid output signal,Concrete primary-output leakage behavior.
4.3,Uncleared register vulnerability,intermediate_registers_not_cleared_on_reset,high_level_synthesis,confidentiality,do not clear the intermediate register values,Sensitive residual information may remain in intermediate registers.
4.3,Uncleared I/O register vulnerability,output_register_retains_previous_sensitive_value,high_level_synthesis,confidentiality,output port retains the previously decrypted value,Output data remains visible after reset.
4.3,Passthrough output vulnerability,intermediate_comparison_results_reflected_at_output,high_level_synthesis,confidentiality,intermediate comparison results are reflected on the output port,Secure string comparison leaks byte-difference information.
4.4,Latching intermediate values,intermediate_aes_round_state_latches_to_output,high_level_synthesis,confidentiality,ciphertext state after every two AES rounds latches to the output port,Intermediate AES states reduce effort to recover key/plaintext.
4.5,Lack of top-level control signals,free_running_mode_input_latching,high_level_synthesis,confidentiality;integrity,free-running mode,Lack of start signal causes unsafe latching behavior.
4.5,Lack of top-level control signals,bypass_intermediate_round_operations,high_level_synthesis,confidentiality;bypass intermediate round operations,Input latching at a specific time bypasses AES round operations and leaks intermediate value.,
4.5,HLS-induced key leakage,last_round_key_recovery_from_leaked_intermediate_value,high_level_synthesis,confidentiality,reveal the last round key,Leaked patterned value can be used to recover the AES last round key.
4.6,Insecure call-method vulnerability,single_bit_fault_on_external_round_variable,high_level_synthesis,integrity;confidentiality,single-bit fault,A fault in externally stored Nr can change AES control behavior.
4.6,Insecure call-method vulnerability,final_round_bypass_and_ninth_round_state_leakage,high_level_synthesis,confidentiality,bypass the final round,Bypassing final AES round leaks ninth-round state to ciphertext output.
4.8,Power side-channel vulnerability,psc_unaware_hls_translation,high_level_synthesis,confidentiality,power side-channel leakage,HLS-generated RTL leaks through power/toggle activity.
4.8,Power side-channel vulnerability,toggle_activity_based_key_leakage,high_level_synthesis,confidentiality,equally leaking PSC information,Pre-silicon CPA shows leakage in HLS-generated AES RTL.
